á	a u
styrkjast	s t ɪ r̥ c a s t
styrkleikaflokki	s t ɪ r̥ k l e i k a f l ɔ h c ɪ
styrkleikastigi	s t ɪ r̥ k l e i k a s t ɪ i j ɪ
styrkt	s t ɪ r̥ k t
styrktar	s t ɪ r̥ k t a r
styrktaraðili	s t ɪ r̥ k t a r a ð ɪ l ɪ
styrkti	s t ɪ r̥ k t ɪ
styrktir	s t ɪ r̥ k t ɪ r
styrktist	s t ɪ r̥ k t ɪ s t
styrkur	s t ɪ r̥ k ʏ r
styrkurinn	s t ɪ r̥ k ʏ r ɪ n
styrr	s t ɪ r
stýrt	s t i r̥ t
stytt	s t ɪ h t
stytta	s t ɪ h t a
styttir	s t ɪ h t ɪ r
styttist	s t ɪ h t ɪ s t
styttri	s t ɪ h t r ɪ
styttu	s t ɪ h t ʏ
styttur	s t ɪ h t ʏ r
stytturnar	s t ɪ h t ʏ r t n a r
sú	s u
súdan	s u t a n
súðarvogi	s u ð a r v ɔ j ɪ
suðaustan	s ʏ ð ø y s t a n
suðaustanátt	s ʏ ð ø y s t a n a u h t
suðaustanlands	s ʏ ð ø y s t a n l a n t s
súðavík	s u ð a v i k
súðavíkurhlíð	s u ð a v i k ʏ r l̥ i ð
suðlægari	s ʏ ð l a i ɣ a r ɪ
suðlægum	s ʏ ð l a i ɣ ʏ m
suðrænt	s ʏ ð r a i n̥ t
suðumark	s ʏ ð ʏ m a r̥ k
suður	s ʏ ð ʏ r
suðurási	s ʏ ð ʏ r a u s ɪ
suðurbraut	s ʏ ð ʏ r p r ø y t
suðurbrún	s ʏ ð ʏ r p r u n
suðurbyggð	s ʏ ð ʏ r p ɪ ɣ ð
suðurgafli	s ʏ ð ʏ r k a p l ɪ
suðurgarði	s ʏ ð ʏ r k a r ð ɪ
suðurgerði	s ʏ ð ʏ r c ɛ r ð ɪ
suðurgötu	s ʏ ð ʏ r k œ t ʏ
suðurhellu	s ʏ ð ʏ r h ɛ t l ʏ
suðurhlíð	s ʏ ð ʏ r l̥ i ð
suðurhöfum	s ʏ ð ʏ r h œ v ʏ m
suðurhólum	s ʏ ð ʏ r h o u l ʏ m
suðurhópi	s ʏ ð ʏ r h o u p ɪ
suðurhrauni	s ʏ ð ʏ r r̥ ø y n ɪ
suðurhúsum	s ʏ ð ʏ r h u s ʏ m
suðurhvoli	s ʏ ð ʏ r xʷ ɔ l ɪ
suðurlandi	s ʏ ð ʏ r l a n t ɪ
suðurlands	s ʏ ð ʏ r l a n t s
suðurlandsbraut	s ʏ ð ʏ r l a n t s p r ø y t
suðurlandsveg	s ʏ ð ʏ r l a n t s v ɛ ɣ
suðurlandsvegar	s ʏ ð ʏ r l a n t s v ɛ ɣ a r
suðurlandsvegi	s ʏ ð ʏ r l a n t s v e i j ɪ
suðurleið	s ʏ ð ʏ r l e i ð
suðurnesjamenn	s ʏ ð ʏ r t n ɛ s j a m ɛ n
suðurpólinn	s ʏ ð ʏ r pʰ o u l ɪ n
suðurpólnum	s ʏ ð ʏ r pʰ o u l n ʏ m
suðurreykjum	s ʏ ð ʏ r r e i c ʏ m
suðurríkjunum	s ʏ ð ʏ r r i c ʏ n ʏ m
suðurskautið	s ʏ ð ʏ r s k ø y t ɪ ð
suðurskautinu	s ʏ ð ʏ r s k ø y t ɪ n ʏ
suðurskautslandið	s ʏ ð ʏ r s k ø y t s t l a n t ɪ ð
suðurskautslandinu	s ʏ ð ʏ r s k ø y t s t l a n t ɪ n ʏ
suðursölum	s ʏ ð ʏ r s œ l ʏ m
suðurströnd	s ʏ ð ʏ r s t r œ n t
suðurströndina	s ʏ ð ʏ r s t r œ n t ɪ n a
suðurströndinni	s ʏ ð ʏ r s t r œ n t ɪ n ɪ
suðurtanga	s ʏ ð ʏ r tʰ a u ŋ k a
suðurtröð	s ʏ ð ʏ r tʰ r œ ð
suðurtúni	s ʏ ð ʏ r tʰ u n ɪ
suðurvangi	s ʏ ð ʏ r v a u ŋ c ɪ
suðurvegi	s ʏ ð ʏ r v e i j ɪ
suðurvíkurvegi	s ʏ ð ʏ r v i k ʏ r v e i j ɪ
suðurvöllum	s ʏ ð ʏ r v œ t l ʏ m
suðurvör	s ʏ ð ʏ r v œ r
suðvestanátt	s ʏ ð v ɛ s t a n a u h t
suðvestanlands	s ʏ ð v ɛ s t a n l a n t s
suðvesturlandi	s ʏ ð v ɛ s t ʏ r l a n t ɪ
súkkulaði	s u h k ʏ l a ð ɪ
súkkulaðimolana	s u h k ʏ l a ð ɪ m ɔ l a n a
súla	s u l a
súlan	s u l a n
súld	s u l t
sulti	s ʏ l̥ t ɪ
sultuna	s ʏ l̥ t ʏ n a
súluhöfða	s u l ʏ h œ v ð a
súluholti	s u l ʏ h ɔ l̥ t ɪ
súluhólum	s u l ʏ h o u l ʏ m
súlukletti	s u l ʏ kʰ l ɛ h t ɪ
súlunesi	s u l ʏ n ɛ s ɪ
súlurnar	s u l ʏ r t n a r
súluvegi	s u l ʏ v e i j ɪ
súluvöllum	s u l ʏ v œ t l ʏ m
sum	s ʏ m
sumar	s ʏ m a r
sumarbústað	s ʏ m a r p u s t a ð
sumarbústaðar	s ʏ m a r p u s t a ð a r
sumarbústaði	s ʏ m a r p u s t a ð ɪ
sumarbústaður	s ʏ m a r p u s t a ð ʏ r
sumardag	s ʏ m a r t a ɣ
sumardegi	s ʏ m a r t e i j ɪ
sumarfríi	s ʏ m a r f r i j ɪ
sumarfríinu	s ʏ m a r f r i ɪ n ʏ
sumargleði	s ʏ m a r k l ɛ ð ɪ
sumargotssíldar	s ʏ m a r k ɔ t s s i l t a r
sumarhús	s ʏ m a r h u s
sumarhúsa	s ʏ m a r h u s a
sumarhúsi	s ʏ m a r h u s ɪ
sumarhúsum	s ʏ m a r h u s ʏ m
sumarið	s ʏ m a r ɪ ð
sumarlandið	s ʏ m a r l a n t ɪ ð
sumarleið	s ʏ m a r l e i ð
sumarleyfisstað	s ʏ m a r l e i v ɪ s tʰ a ð
sumarliðabæ	s ʏ m a r l ɪ ð a p a i
sumarliði	s ʏ m a r l ɪ ð ɪ
sumarlína	s ʏ m a r l i n a
sumarloftið	s ʏ m a r l ɔ f t ɪ ð
sumarlok	s ʏ m a r l ɔ k
sumarmánuðurinn	s ʏ m a r m a u n ʏ ð ʏ r ɪ n
sumarsins	s ʏ m a r̥ s ɪ n s
sumarskóla	s ʏ m a r s k o u l a
sumarsmelli	s ʏ m a r s m ɛ t l ɪ
sumarútsölunum	s ʏ m a r u t s œ l ʏ n ʏ m
sumarveður	s ʏ m a r v ɛ ð ʏ r
sumarvinnu	s ʏ m a r v ɪ n ʏ
sumaryl	s ʏ m a r ɪ l̥
sumir	s ʏ m ɪ r
sumri	s ʏ m r ɪ
sumrin	s ʏ m r ɪ n
sumrinu	s ʏ m r ɪ n ʏ
sums	s ʏ m s
sumstaðar	s ʏ m s t a ð a r
sumt	s ʏ m̥ t
sumu	s ʏ m ʏ
sumum	s ʏ m ʏ m
sund	s ʏ n t
sundaborg	s ʏ n t a p ɔ r k
sundabraut	s ʏ n t a p r ø y t
sundabúð	s ʏ n t a p u ð
sundahöfn	s ʏ n t a h œ p n
sundarbakka	s ʏ n t a r p a h k a
sundferðar	s ʏ n t f ɛ r ð a r
sundföt	s ʏ n t f œ t
sundi	s ʏ n t ɪ
sundin	s ʏ n t ɪ n
sundinu	s ʏ n t ɪ n ʏ
sundlaug	s ʏ n t l ø y ɣ
sundlaugar	s ʏ n t l ø y ɣ a r
sundlaugargestum	s ʏ n t l ø y ɣ a r k ɛ s t ʏ m
sundmaðurinn	s ʏ n t m ɛ n i t n
sundra	s ʏ n t r a
sundstöðum	s ʏ n t s t œ ð ʏ m
sundstræti	s ʏ n t s t r a i t ɪ
sundsvall	s ʏ n t s v a t l
sundur	s ʏ n t ʏ r
sungið	s u ŋ k ɪ ð
sungu	s u ŋ k ʏ
sunna	s ʏ n a
sunnan	s ʏ n a n
sunnanátt	s ʏ n a n a u h t
sunnanlands	s ʏ n a n l a n t s
sunnantil	s ʏ n a n̥ t ɪ l
sunnanverðu	s ʏ n a n v ɛ r ð ʏ
sunnanverðum	s ʏ n a n v ɛ r ð ʏ m
sunnanvert	s ʏ n a n v ɛ r̥ t
sunneva	s ʏ n ɛ v a
sunníva	s ʏ n i v a
sunnlenska	s ʏ n l ɛ n s k a
sunnlenskar	s ʏ n l ɛ n s k a r
sunnubraut	s ʏ n ʏ p r ø y t
sunnudag	s ʏ n ʏ t a ɣ
sunnudaga	s ʏ n ʏ t a ɣ a
sunnudagana	s ʏ n ʏ t a ɣ a n a
sunnudaganna	s ʏ n ʏ t a ɣ a n a
sunnudagar	s ʏ n ʏ t a ɣ a r
sunnudagarnir	s ʏ n ʏ t a ɣ a r t n ɪ r
sunnudaginn	s ʏ n ʏ t a ɣ ɪ n
sunnudags	s ʏ n ʏ t a x s
sunnudagsbíltúrana	s ʏ n ʏ t a x s p i l tʰ u r a n a
sunnudagsins	s ʏ n ʏ t a x s ɪ n s
sunnudagsmorgun	s ʏ n ʏ t a x s m ɔ r k ʏ n
sunnudagur	s ʏ n ʏ t a ɣ ʏ r
sunnudagurinn	s ʏ n ʏ t a ɣ ʏ r ɪ n
sunnudegi	s ʏ n ʏ t e i j ɪ
sunnudeginum	s ʏ n ʏ t e i j ɪ n ʏ m
sunnudögum	s ʏ n ʏ t œ ɣ ʏ m
sunnudögunum	s ʏ n ʏ t œ ɣ ʏ n ʏ m
sunnuflöt	s ʏ n ʏ f l œ t
sunnugerði	s ʏ n ʏ c ɛ r ð ɪ
sunnuhlíð	s ʏ n ʏ l̥ i ð
sunnuholti	s ʏ n ʏ h ɔ l̥ t ɪ
sunnuhvoli	s ʏ n ʏ xʷ ɔ l ɪ
sunnukoti	s ʏ n ʏ kʰ ɔ t ɪ
sunnumörk	s ʏ n ʏ m œ r̥ k
sunnuvegi	s ʏ n ʏ v e i j ɪ
súpa	s u p a
súpu	s u p ʏ
súr	s u r
súrefni	s u r ɛ p n ɪ
súrefnismagn	s u r ɛ p n ɪ s m a k n
súrefnisskorts	s u r ɛ p n ɪ s s k ɔ r̥ t s
súrínam	s u r i n a m
súrt	s u r̥ t
surtsstöðum	s ʏ r̥ t s s t œ ð ʏ m
súrtunnu	s u r̥ t ʏ n ʏ
súru	s u r ʏ
súsanna	s u s a n a
svaðastöðum	s v a ð a s t œ ð ʏ m
svaðið	s v a ð ɪ ð
svaðilför	s v a ð ɪ l f œ r
svaðinu	s v a ð ɪ n ʏ
svæði	s v a i ð ɪ
svæðið	s v a i ð ɪ ð
svæðin	s v a i ð ɪ n
svæðinu	s v a i ð ɪ n ʏ
svæðisins	s v a i ð ɪ s ɪ n s
svæðum	s v a i ð ʏ m
svæfingalækni	s v a i v i ŋ k a l a i h k n ɪ
svæfingarlæknir	s v a i v i ŋ k a r l a i h k n ɪ r
svaf	s v a v
svafa	s v a v a
svafar	s v a v a r
sváfnir	s v a u p n ɪ r
sváfu	s v a u v ʏ
svaka	s v a k a
svakaleg	s v a k a l ɛ ɣ
svakalega	s v a k a l ɛ ɣ a
svakalegur	s v a k a l ɛ ɣ ʏ r
svala	s v a l a
svalbakka	s v a l p a h k a
svalbarða	s v a l p a r ð a
svalbarði	s v a l p a r ð ɪ
svalbarðseyri	s v a l p a r ð s e i r ɪ
svalbarðsströnd	s v a l p a r ð s s t r œ n t
svali	s v a l ɪ
svalrún	s v a l r u n
svalt	s v a l̥ t
svalvogum	s v a l v ɔ ɣ ʏ m
svampinn	s v a m̥ p ɪ n
svanasöngur	s v a n a s ø y ŋ k ʏ r
svanavatni	s v a n a v a h t n ɪ
svanberg	s v a n p ɛ r k
svanbergur	s v a n p ɛ r k ʏ r
svanbjörg	s v a n p j œ r k
svanbjört	s v a n p j œ r̥ t
svanborg	s v a n p ɔ r k
svandís	s v a n t i s
svaney	s v a n e i
svanfríður	s v a n f r i ð ʏ r
svangir	s v a u ŋ c ɪ r
svanheiður	s v a n h e i ð ʏ r
svanhildur	s v a n h ɪ l t ʏ r
svanhólm	s v a n h o u l m
svanhvít	s v a n xʷ i t
svani	s v a n ɪ
svanlaug	s v a n l ø y ɣ
svanlaugur	s v a n l ø y ɣ ʏ r
svanmundur	s v a n m ʏ n t ʏ r
svanrós	s v a n r o u s
svanshóli	s v a n s h o u l ɪ
svansvík	s v a n s v i k
svanur	s v a n ʏ r
svanþór	s v a n θ o u r
svar	s v a r
svara	s v a r a
svarað	s v a r a ð
svaraði	s v a r a ð ɪ
svarar	s v a r a r
svararðu	s v a r a r ð ʏ
svarbréfs	s v a r p r j ɛ v s
svarfaðarbraut	s v a r f a ð a r p r ø y t
svarfdal	s v a r v t a l
svarfhóli	s v a r v h o u l ɪ
svari	s v a r ɪ
svarið	s v a r ɪ ð
svart	s v a r̥ t
svartagili	s v a r̥ t a j ɪ l ɪ
svartamyrkri	s v a r̥ t a m ɪ r̥ k r ɪ
svartar	s v a r̥ t a r
svartara	s v a r̥ t a r a
svartárdal	s v a r̥ t a u r t a l
svartárkoti	s v a r̥ t a u r kʰ ɔ t ɪ
svartfjallaland	s v a r̥ t f j a t l a l a n t
svartfjallalandi	s v a r̥ t f j a t l a l a n t ɪ
svartholum	s v a r̥ t h ɔ l ʏ m
svarthömrum	s v a r̥ t h œ m r ʏ m
svarti	s v a r̥ t ɪ
svartir	s v a r̥ t ɪ r
svartolía	s v a r̥ t ɔ l i j a
svartri	s v a r̥ t r ɪ
svartskeggs	s v a r̥ t s c ɛ k s
svartsýnir	s v a r̥ t s i n ɪ r
svartsýnni	s v a r̥ t s i t n ɪ
svartur	s v a r̥ t ʏ r
svartþrestir	s v a r̥ t θ r ɛ s t ɪ r
svasíland	s v a s i l a n t
svava	s v a v a
svavar	s v a v a r
svea	s v ɛ a
sveðju	s v ɛ ð j ʏ
sveðjustöðum	s v ɛ ð j ʏ s t œ ð ʏ m
svefn	s v ɛ p n
svefni	s v ɛ p n ɪ
svefnleysi	s v ɛ p n l e i s ɪ
svefnpilla	s v ɛ p n pʰ ɪ t l a
svefnvana	s v ɛ p n v a n a
sveiflað	s v e i v l a ð
sveiflaði	s v e i v l a ð ɪ
sveiflur	s v e i v l ʏ r
sveiflurnar	s v e i v l ʏ r t n a r
sveighúsum	s v e i ɣ h u s ʏ m
sveigjanleg	s v e i j a n l ɛ ɣ
sveik	s v e i k
sveina	s v e i n a
sveinar	s v e i n a r
sveinatungu	s v e i n a tʰ u ŋ k ʏ
sveinbirni	s v e i n p ɪ r t n ɪ
sveinbjartur	s v e i n p j a r̥ t ʏ r
sveinbjörg	s v e i n p j œ r k
sveinbjörn	s v e i n p j œ r t n
sveinborg	s v e i n p ɔ r k
sveindís	s v e i n t i s
sveiney	s v e i n e i
sveinfríður	s v e i n f r i ð ʏ r
sveingerður	s v e i ŋ c ɛ r ð ʏ r
sveinhildur	s v e i n h ɪ l t ʏ r
sveini	s v e i n ɪ
sveinjón	s v e i n j o u n
sveinlaug	s v e i n l ø y ɣ
sveinlaugur	s v e i n l ø y ɣ ʏ r
sveinn	s v e i t n
sveinninn	s v e i t n ɪ n
sveinrós	s v e i n r o u s
sveinrún	s v e i n r u n
sveinseyri	s v e i n s e i r ɪ
sveinskoti	s v e i n s k ɔ t ɪ
sveinsstöðum	s v e i n s s t œ ð ʏ m
sveintúni	s v e i n tʰ u n ɪ
sveinungi	s v e i n u ŋ k ɪ
sveinungsvík	s v e i n u ŋ k s v i k
sveinþór	s v e i n θ o u r
sveipað	s v e i p a ð
sveipaði	s v e i p a ð ɪ
sveit	s v e i t
sveita	s v e i t a
sveitabæinn	s v e i t a p a i j ɪ n
sveitaballi	s v e i t a p a l ɪ
sveitaprests	s v e i t a pʰ r ɛ s t s
sveitarfélag	s v e i t a r f j ɛ l a ɣ
sveitarfélaga	s v e i t a r f j ɛ l a ɣ a
sveitarfélaganna	s v e i t a r f j ɛ l a ɣ a n a
sveitarfélags	s v e i t a r f j ɛ l a x s
sveitarfélagsins	s v e i t a r f j ɛ l a x s ɪ n s
sveitarfélög	s v e i t a r f j ɛ l œ ɣ
sveitarfélögin	s v e i t a r f j ɛ l œ j ɪ n
sveitarinnar	s v e i t a r ɪ n a r
sveitarsjóðir	s v e i t a r s j o u ð ɪ r
sveitarstjóra	s v e i t a r s t j o u r a
sveitarstjórann	s v e i t a r s t j o u r a n
sveitarstjóri	s v e i t a r s t j o u r ɪ
sveitarstjórinn	s v e i t a r s t j o u r ɪ n
sveitarstjórnar	s v e i t a r s t j o u r t n a r
sveitarstjórnarmaður	s v e i t a r s t j o u r t n a r m a ð ʏ r
sveitin	s v e i t ɪ n
sveitinni	s v e i t ɪ n ɪ
sveitirnar	s v e i t ɪ r t n a r
sveitunga	s v e i t u ŋ k a
svekkjandi	s v ɛ h c a n t ɪ
svekktir	s v ɛ x t ɪ r
svelgsá	s v ɛ l k s a u
svelli	s v ɛ t l ɪ
svellið	s v ɛ t l ɪ ð
svellkalda	s v ɛ t l kʰ a l t a
svelta	s v ɛ l̥ t a
sveppategund	s v ɛ h p a tʰ ɛ ɣ ʏ n t
sverð	s v ɛ r ð
sverrir	s v ɛ r ɪ r
svíadrottning	s v i a t r ɔ h t n i ŋ k
svíakonung	s v i a kʰ ɔ n u ŋ k
svíakonungur	s v i a kʰ ɔ n u ŋ k ʏ r
svið	s v ɪ ð
sviðann	s v ɪ ð a n
sviðholtsvör	s v ɪ ð h ɔ l̥ t s v œ r
sviði	s v ɪ ð ɪ
sviðið	s v ɪ ð ɪ ð
sviðinu	s v ɪ ð ɪ n ʏ
sviðsettu	s v ɪ ð s ɛ h t ʏ
sviðsljósinu	s v ɪ ð s l j o u s ɪ n ʏ
sviðsljóssins	s v ɪ ð s l j o u s s ɪ n s
sviðugörðum	s v ɪ ð ʏ k œ r ð ʏ m
sviðum	s v ɪ ð ʏ m
svífandi	s v i v a n t ɪ
svifið	s v ɪ f ɪ ð
svifryk	s v ɪ f r ɪ k
svift	s v ɪ f t
svig	s v ɪ ɣ
svigi	s v ɪ i j ɪ
sviginu	s v ɪ i j ɪ n ʏ
svignaði	s v ɪ k n a ð ɪ
svignaskarði	s v ɪ k n a s k a r ð ɪ
svigrúm	s v ɪ k r u m
svikahrappur	s v ɪ k a r̥ a h p ʏ r
svikið	s v ɪ c ɪ ð
svikin	s v ɪ k ɪ n
svíkja	s v i c a
sviknum	s v ɪ k n ʏ m
sviku	s v ɪ k ʏ
svín	s v i n
svínabökkum	s v i n a p œ h k ʏ m
svínabúa	s v i n a p u a
svínabúi	s v i n a p u ɪ
svínadal	s v i n a t a l
svínafelli	s v i n a f ɛ t l ɪ
svínaflensa	s v i n a p l ɛ n s a
svínaflensan	s v i n a p l ɛ n s a n
svínaflensu	s v i n a p l ɛ n s ʏ
svínahrauni	s v i n a r̥ ø y n ɪ
svínaræktar	s v i n a r a i x t a r
svínavatni	s v i n a v a h t n ɪ
svindl	s v ɪ n t l
svindlaði	s v ɪ n t l a ð ɪ
svindlarar	s v ɪ n t l a r a r
svindli	s v ɪ n t l ɪ
svindluðum	s v ɪ n t l ʏ ð ʏ m
svínhólum	s v i n h o u l ʏ m
svip	s v ɪ p
svipa	s v ɪ p a
svipað	s v ɪ p a ð
svipaða	s v ɪ p a ð a
svipar	s v ɪ p a r
svipmyndir	s v ɪ f m ɪ n t ɪ r
svipnum	s v ɪ h p n ʏ m
svipt	s v ɪ f t
svipta	s v ɪ f t a
svipti	s v ɪ f t ɪ
sviptingar	s v ɪ f t i ŋ k a r
sviptir	s v ɪ f t ɪ r
sviptur	s v ɪ f t ʏ r
svipuð	s v ɪ p ʏ ð
svipuðu	s v ɪ p ʏ ð ʏ
svipuðum	s v ɪ p ʏ ð ʏ m
svipult	s v ɪ p ʏ l̥ t
sviss	s v ɪ s
svisslendingum	s v ɪ s l ɛ n t i ŋ k ʏ m
svissneskur	s v ɪ s n ɛ s k ʏ r
svita	s v ɪ t a
svitadropar	s v ɪ t a t r ɔ p a r
svíþjóð	s v i θ j o u ð
svo	s v ɔ
svokallaðan	s v ɔ kʰ a t l a ð a n
svokallaðir	s v ɔ kʰ a t l a ð ɪ r
svoleiðis	s v ɔ l e i ð ɪ s
svolítið	s v ɔ l i t ɪ ð
svolítill	s v ɔ l i t ɪ t l
svölnir	s v œ l n ɪ r
svöluhöfða	s v œ l ʏ h œ v ð a
svöluhrauni	s v œ l ʏ r̥ ø y n ɪ
svölum	s v œ l ʏ m
svölustu	s v œ l ʏ s t ʏ
svona	s v ɔ n a
svonefndi	s v ɔ n ɛ m t ɪ
svöng	s v ø y ŋ k
svör	s v œ r
svörfuður	s v œ r̥ f ʏ ð ʏ r
svörin	s v œ r ɪ n
svört	s v œ r̥ t
svörtu	s v œ r̥ t ʏ
svörtum	s v œ r̥ t ʏ m
svörum	s v œ r ʏ m
svosem	s v ɔ s ɛ m
svotil	s v ɔ t ɪ l
syðra	s ɪ ð r a
syðri	s ɪ ð r ɪ
syðst	s ɪ ð s t
syðstabæ	s ɪ ð s t a p a i
syðstakoti	s ɪ ð s tʰ a kʰ ɔ t ɪ
syðsti	s ɪ ð s t ɪ
sýking	s i c i ŋ k
sýklalyfjaónæmi	s i c l a l ɪ v j a o u n a i m ɪ
sýknað	s i c n a ð
sýknaðir	s i c n a ð ɪ r
sýknaður	s i c n a ð ʏ r
sýknu	s i c n ʏ
sýknuð	s i c n ʏ ð
sykri	s ɪ k r ɪ
sýkta	s i x t a
sýktu	s i c t ʏ
sykurinn	s ɪ k ʏ r ɪ n
sykurs	s ɪ k ʏ r s
sykursýki	s ɪ k ʏ r s i c ɪ
sylgja	s ɪ l c a
sýn	s i n
sýna	s i n a
sýnatöku	s i n a tʰ œ k ʏ
sýnd	s i n t
synda	s ɪ n t a
sýndi	s i n t ɪ
sýndist	s i n t ɪ s t
sýndu	s i n t ʏ
sýndur	s i n t ʏ r
syngja	s i ɲ c a
syngur	s i ŋ k ʏ r
syni	s ɪ n ɪ
sýni	s i n ɪ
sýnileg	s i n ɪ l ɛ ɣ
sýnin	s i n ɪ n
sýning	s i n i ŋ k
sýningafjöldi	s i n i ŋ k a f j œ l t ɪ
sýningargluggar	s i n i ŋ k a r k l ʏ k a r
sýningargrip	s i n i ŋ k a r k r ɪ p
sýningarréttinn	s i n i ŋ k a r r j ɛ h t ɪ n
sýningartjaldinu	s i n i ŋ k a r tʰ j a l t ɪ n ʏ
sýningin	s i n i ɲ c ɪ n
sýninguna	s i n i ŋ k ʏ n a
sýningunni	s i n i ŋ k ʏ n ɪ
sýnir	s i n ɪ r
sýnis	s i n ɪ s
synja	s ɪ n j a
synjað	s ɪ n j a ð
synjun	s ɪ n j ʏ n
synjunina	s ɪ n j ʏ n ɪ n a
synjuninni	s ɪ n j ʏ n ɪ n ɪ
sýnt	s i n t
synti	s ɪ n̥ t ɪ
syntu	s ɪ n̥ t ʏ
sýnum	s i n ʏ m
syrgir	s ɪ r c ɪ r
syrgja	s ɪ r c a
syrgjendur	s ɪ r c ɛ n t ʏ r
sýrland	s i r l a n t
sýrlandi	s i r l a n t ɪ
sýrlands	s i r l a n t s
sýrlenska	s i r l ɛ n s k a
sýrlenskir	s i r l ɛ n s k ɪ r
sýru	s i r ʏ
sýslaði	s i s t l a ð ɪ
systkina	s ɪ s t k ɪ n a
systkini	s ɪ s t k ɪ n ɪ
systrunum	s ɪ s t r ʏ n̥ ʏ m
systur	s ɪ s t ʏ r
systurinni	s ɪ s t ʏ r̥ ɪ n ɪ
systurnar	s ɪ s t ʏ r t n a r
tadsjikistan	tʰ a t s j ɪ c ɪ s t a n
tæki	tʰ a i c ɪ
tækifæra	tʰ a i c ɪ f a i r a
tækifæri	tʰ a i c ɪ f a i r ɪ
tækifærið	tʰ a i c ɪ f a i r ɪ ð
tækin	tʰ a i c ɪ n
tækju	tʰ a i c ʏ
tækni	tʰ a i h k n ɪ
tæknileg	tʰ a i h k n ɪ l ɛ ɣ
tæknilegum	tʰ a i h k n ɪ l ɛ ɣ ʏ m
tæknin	tʰ a i h k n ɪ n
tækniþjónustu	tʰ a i h k n ɪ θ j o u n ʏ s t ʏ
tælandi	tʰ a i l a n t ɪ
tældi	tʰ a i l t ɪ
tæmast	tʰ a i m a s t
tæmir	tʰ a i m ɪ r
tæp	tʰ a i p
tæpa	tʰ a i p a
tæpan	tʰ a i p a n
tæpar	tʰ a i p a r
tæpasta	tʰ a i p a s t a
tæpir	tʰ a i p ɪ r
tæpitungulaust	tʰ a i p ɪ tʰ u ŋ k ʏ l ø y s t
tæplega	tʰ a i h p l ɛ ɣ a
tæpri	tʰ a i p r ɪ
tæpt	tʰ a i f t
tæpur	tʰ a i p ʏ r
tærnar	tʰ a i r t n a r
tært	tʰ a i r̥ t
tafa	tʰ a v a
tafðist	tʰ a v ð ɪ s t
tafið	tʰ a u ɪ ð
tafir	tʰ a u ɪ r
taflan	tʰ a p l a n
tágakörfunni	tʰ a u a kʰ œ r̥ f ʏ n ɪ
taíland	tʰ a i l a n t
taílenskur	tʰ a i l ɛ n s k ʏ r
taka	tʰ a k a
takast	tʰ a k a s t
taki	tʰ a c ɪ
takk	tʰ a h k
takkar	tʰ a h k a r
takmarka	tʰ a k m a r̥ k a
takmarkað	tʰ a k m a r̥ k a ð
takmarkaður	tʰ a k m a r̥ k a ð ʏ r
takmarkanir	tʰ a k m a r̥ k a n ɪ r
takmarki	tʰ a k m a r̥ c ɪ
takmörk	tʰ a k m œ r̥ k
takmörkuð	tʰ a k m œ r̥ k ʏ ð
takmörkuðu	tʰ a k m œ r̥ k ʏ ð ʏ
takmörkun	tʰ a k m œ r̥ k ʏ n
táknar	tʰ a u h k n a r
táknmál	tʰ a u h k n m a u l
táknmálstúlkun	tʰ a u h k n m a u l s tʰ u l̥ k ʏ n
táknræna	tʰ a u h k n r a i n a
táknrænar	tʰ a u h k n r a i n a r
taks	tʰ a k s
takt	tʰ a x t
taktík	tʰ a x t i k
taktísk	tʰ a x t i s k
tal	tʰ a l
tala	tʰ a l a
talað	tʰ a l a ð
talaði	tʰ a l a ð ɪ
talan	tʰ a l a n
talar	tʰ a l a r
taldi	tʰ a l t ɪ
taldir	tʰ a l t ɪ r
táldregur	tʰ a u l t r ɛ ɣ ʏ r
talía	tʰ a l i j a
talibana	tʰ a l ɪ p a n a
talíbana	tʰ a l i p a n a
talibanar	tʰ a l ɪ p a n a r
talíbanar	tʰ a l i p a n a r
talibönum	tʰ a l ɪ p œ n ʏ m
talið	tʰ a l ɪ ð
talin	tʰ a l ɪ n
talinn	tʰ a l ɪ n
talist	tʰ a l ɪ s t
tallinn	tʰ a t l ɪ n
talning	tʰ a l n i ŋ k
talningin	tʰ a l n i ɲ c ɪ n
talningu	tʰ a l n i ŋ k ʏ
talsins	tʰ a l s ɪ n s
talsmaður	tʰ a l s m a ð ʏ r
talsmann	tʰ a l s m a n
talsmönnum	tʰ a l s m œ n ʏ m
talstöðin	tʰ a l s t œ ð ɪ n
talsverð	tʰ a l s v ɛ r ð
talsverðan	tʰ a l s v ɛ r ð a n
talsverðar	tʰ a l s v ɛ r ð a r
talsverður	tʰ a l s v ɛ r ð ʏ r
talsvert	tʰ a l s v ɛ r̥ t
tamar	tʰ a m a r
tamara	tʰ a m a r a
tána	tʰ a u n a
tandri	tʰ a n t r ɪ
tangabryggju	tʰ a u ŋ k a p r ɪ c ʏ
tangagötu	tʰ a u ŋ k a k œ t ʏ
tangarhöfða	tʰ a u ŋ k a r h œ v ð a
tangasundi	tʰ a u ŋ k a s ʏ n t ɪ
tangi	tʰ a u ŋ c ɪ
táninga	tʰ a u n i ŋ k a
táningar	tʰ a u n i ŋ k a r
táningur	tʰ a u n i ŋ k ʏ r
tanja	tʰ a n j a
tankinn	tʰ a u ɲ̊ c ɪ n
